Filtering the log data using "composedMessage CONTAINS "FXINSTR""
2026-06-11 14:39:37.786 Df reactnativefxexample[45788:c06852] (Foundation) [FXINSTR] static Metal context: MTLDevice created (once per process) = true
2026-06-11 14:39:37.790 Df reactnativefxexample[45788:c06852] (Foundation) [FXINSTR] pipeline COMPILED id=fractal-clouds (cache miss — first instance of this id)
2026-06-11 14:39:37.791 Df reactnativefxexample[45788:c06852] (Foundation) [FXINSTR] ensureEffectSurface: allocating MTKView (lazy — first active shader for this surface)
2026-06-11 14:39:37.797 Df reactnativefxexample[45788:c06852] (Foundation) [FXINSTR] pipeline COMPILED id=ink-smoke (cache miss — first instance of this id)
2026-06-11 14:39:37.798 Df reactnativefxexample[45788:c06852] (Foundation) [FXINSTR] ensureEffectSurface: allocating MTKView (lazy — first active shader for this surface)
2026-06-11 14:39:37.799 Df reactnativefxexample[45788:c06852] (Foundation) [FXINSTR] pipeline COMPILED id=liquid-chrome (cache miss — first instance of this id)
2026-06-11 14:39:37.799 Df reactnativefxexample[45788:c06852] (Foundation) [FXINSTR] ensureEffectSurface: allocating MTKView (lazy — first active shader for this surface)
2026-06-11 14:39:37.836 Df reactnativefxexample[45788:c06852] (Foundation) [FXINSTR] pipeline COMPILED id=loop (cache miss — first instance of this id)
2026-06-11 14:39:37.837 Df reactnativefxexample[45788:c06852] (Foundation) [FXINSTR] ensureEffectSurface: allocating MTKView (lazy — first active shader for this surface)
2026-06-11 14:39:37.838 Df reactnativefxexample[45788:c06852] (Foundation) [FXINSTR] pipeline COMPILED id=dots (cache miss — first instance of this id)
2026-06-11 14:39:37.838 Df reactnativefxexample[45788:c06852] (Foundation) [FXINSTR] ensureEffectSurface: allocating MTKView (lazy — first active shader for this surface)
2026-06-11 14:39:37.948 Df reactnativefxexample[45788:c06852] (Foundation) [FXINSTR] static Metal context: MTLCommandQueue created (once per process) = true
2026-06-11 14:39:38.048 Df reactnativefxexample[45788:c06852] (Foundation) [FXINSTR] ensureEffectSurface: allocating MTKView (lazy — first active shader for this surface)
2026-06-11 14:39:38.049 Df reactnativefxexample[45788:c06852] (Foundation) [FXINSTR] ensureEffectSurface: allocating MTKView (lazy — first active shader for this surface)
2026-06-11 14:39:38.050 Df reactnativefxexample[45788:c06852] (Foundation) [FXINSTR] ensureEffectSurface: allocating MTKView (lazy — first active shader for this surface)
2026-06-11 14:39:38.119 Df reactnativefxexample[45788:c06852] (Foundation) [FXINSTR] ensureEffectSurface: allocating MTKView (lazy — first active shader for this surface)
2026-06-11 14:39:38.120 Df reactnativefxexample[45788:c06852] (Foundation) [FXINSTR] ensureEffectSurface: allocating MTKView (lazy — first active shader for this surface)
2026-06-11 14:41:43.871 Df reactnativefxexample[45788:c06852] (Foundation) [FXINSTR] ensureEffectSurface: allocating MTKView (lazy — first active shader for this surface)
2026-06-11 14:41:43.872 Df reactnativefxexample[45788:c06852] (Foundation) [FXINSTR] ensureEffectSurface: allocating MTKView (lazy — first active shader for this surface)
2026-06-11 14:41:50.439 Df reactnativefxexample[45788:c06852] (Foundation) [FXINSTR] ensureEffectSurface: allocating MTKView (lazy — first active shader for this surface)
2026-06-11 14:41:50.440 Df reactnativefxexample[45788:c06852] (Foundation) [FXINSTR] ensureEffectSurface: allocating MTKView (lazy — first active shader for this surface)
2026-06-11 14:41:50.922 Df reactnativefxexample[45788:c06852] (Foundation) [FXINSTR] ensureEffectSurface: allocating MTKView (lazy — first active shader for this surface)
2026-06-11 14:41:50.923 Df reactnativefxexample[45788:c06852] (Foundation) [FXINSTR] ensureEffectSurface: allocating MTKView (lazy — first active shader for this surface)
2026-06-11 14:41:50.923 Df reactnativefxexample[45788:c06852] (Foundation) [FXINSTR] ensureEffectSurface: allocating MTKView (lazy — first active shader for this surface)
2026-06-11 14:42:39.756 Df reactnativefxexample[45788:c06852] (Foundation) [FXINSTR] ensureEffectSurface: allocating MTKView (lazy — first active shader for this surface)
2026-06-11 14:42:39.757 Df reactnativefxexample[45788:c06852] (Foundation) [FXINSTR] ensureEffectSurface: allocating MTKView (lazy — first active shader for this surface)
2026-06-11 14:42:39.758 Df reactnativefxexample[45788:c06852] (Foundation) [FXINSTR] ensureEffectSurface: allocating MTKView (lazy — first active shader for this surface)
2026-06-11 14:42:40.672 Df reactnativefxexample[45788:c06852] (Foundation) [FXINSTR] ensureEffectSurface: allocating MTKView (lazy — first active shader for this surface)
2026-06-11 14:42:40.673 Df reactnativefxexample[45788:c06852] (Foundation) [FXINSTR] ensureEffectSurface: allocating MTKView (lazy — first active shader for this surface)
2026-06-11 14:42:40.674 Df reactnativefxexample[45788:c06852] (Foundation) [FXINSTR] ensureEffectSurface: allocating MTKView (lazy — first active shader for this surface)
2026-06-11 14:42:47.732 Df reactnativefxexample[45788:c06852] (Foundation) [FXINSTR] ensureEffectSurface: allocating MTKView (lazy — first active shader for this surface)
2026-06-11 14:42:54.716 Df reactnativefxexample[45788:c06852] (Foundation) [FXINSTR] ensureEffectSurface: allocating MTKView (lazy — first active shader for this surface)
2026-06-11 14:43:01.811 Df reactnativefxexample[45788:c06852] (Foundation) [FXINSTR] ensureEffectSurface: allocating MTKView (lazy — first active shader for this surface)
2026-06-11 14:43:03.348 Df reactnativefxexample[45788:c06852] (Foundation) [FXINSTR] ensureEffectSurface: allocating MTKView (lazy — first active shader for this surface)
2026-06-11 14:44:09.520 Df reactnativefxexample[45788:c06852] (Foundation) [FXINSTR] ensureEffectSurface: allocating MTKView (lazy — first active shader for this surface)
